Type,EV,Index,Game_Type,x1,p1,x2,p2,Realization,Allocation,A_or_B,payoff
A1,25,Lotere_1,Block_1,25,1,0,0,,0,X,
A1,25,Lotere_2,Block_1,24,0.5,26,0.5,,0,X,
A1,25,Lotere_3,Block_1,23,0.5,27,0.5,,0,X,
A1,25,Lotere_4,Block_1,22,0.5,28,0.5,,0,X,
A1,25,Lotere_5,Block_1,21,0.5,29,0.5,,0,X,
A2,25,Lotere_6,Block_1,20,0.5,30,0.5,,0,X,
A2,25,Lotere_7,Block_1,19,0.5,31,0.5,,0,X,
A2,25,Lotere_8,Block_1,18,0.5,32,0.5,,0,X,
A2,25,Lotere_9,Block_1,17,0.5,33,0.5,,0,X,
A2,25,Lotere_10,Block_1,16,0.5,34,0.5,,0,X,
B1,25,Lotere_11,Block_1,15,0.5,35,0.5,,0,X,
B1,25,Lotere_12,Block_1,14,0.5,36,0.5,,0,X,
B1,25,Lotere_13,Block_1,13,0.5,37,0.5,,0,X,
B1,25,Lotere_14,Block_1,12,0.5,38,0.5,,0,X,
B1,25,Lotere_15,Block_1,11,0.5,39,0.5,,0,X,
B2,25,Lotere_16,Block_1,10,0.5,40,0.5,,0,X,
B2,25,Lotere_17,Block_1,9,0.5,41,0.5,,0,X,
B2,25,Lotere_18,Block_1,8,0.5,42,0.5,,0,X,
B2,25,Lotere_19,Block_1,7,0.5,43,0.5,,0,X,
B2,25,Lotere_20,Block_1,6,0.5,44,0.5,,0,X,
C,25,Lotere_21,Block_1,5,0.5,45,0.5,,0,X,
A1,17.4,Lotere_1,Block_2,30,0.1,16,0.9,,0,X,
A1,18.8,Lotere_2,Block_2,30,0.2,16,0.8,,0,X,
A1,20.2,Lotere_3,Block_2,30,0.3,16,0.7,,0,X,
A1,21.6,Lotere_4,Block_2,30,0.4,16,0.6,,0,X,
A1,23,Lotere_5,Block_2,30,0.5,16,0.5,,0,X,
A2,24.4,Lotere_6,Block_2,30,0.6,16,0.4,,0,X,
A2,25.8,Lotere_7,Block_2,30,0.7,16,0.3,,0,X,
A2,27.2,Lotere_8,Block_2,30,0.8,16,0.2,,0,X,
A2,28.6,Lotere_9,Block_2,30,0.9,16,0.1,,0,X,
A2,30,Lotere_10,Block_2,30,1,16,0,,0,X,
B1,8.5,Lotere_11,Block_2,40,0.1,5,0.9,,0,X,
B1,12,Lotere_12,Block_2,40,0.2,5,0.8,,0,X,
B1,15.5,Lotere_13,Block_2,40,0.3,5,0.7,,0,X,
B1,19,Lotere_14,Block_2,40,0.4,5,0.6,,0,X,
B1,22.5,Lotere_15,Block_2,40,0.5,5,0.5,,0,X,
B2,26,Lotere_16,Block_2,40,0.6,5,0.4,,0,X,
B2,29.5,Lotere_17,Block_2,40,0.7,5,0.3,,0,X,
B2,33,Lotere_18,Block_2,40,0.8,5,0.2,,0,X,
B2,36.5,Lotere_19,Block_2,40,0.9,5,0.1,,0,X,
B2,40,Lotere_20,Block_2,40,1,5,0,,0,X,
C,24,Lotere_21,Block_2,24,1,0,0,,0,X,
A1,20.9,Lotere_1,Block_3,30,0.3,17,0.7,,0,X,
A1,20.9,Lotere_2,Block_3,30,0.3,17,0.7,,0,X,
A1,20.9,Lotere_3,Block_3,30,0.3,17,0.7,,0,X,
A1,20.9,Lotere_4,Block_3,30,0.3,17,0.7,,0,X,
A1,20.9,Lotere_5,Block_3,30,0.3,17,0.7,,0,X,
A2,20.9,Lotere_6,Block_3,30,0.3,17,0.7,,0,X,
A2,20.9,Lotere_7,Block_3,30,0.3,17,0.7,,0,X,
A2,20.9,Lotere_8,Block_3,30,0.3,17,0.7,,0,X,
A2,20.9,Lotere_9,Block_3,30,0.3,17,0.7,,0,X,
A2,20.9,Lotere_10,Block_3,30,0.3,17,0.7,,0,X,
B1,16.8,Lotere_11,Block_3,60,0.1,12,0.9,,0,X,
B1,17.8,Lotere_12,Block_3,70,0.1,12,0.9,,0,X,
B1,18.8,Lotere_13,Block_3,80,0.1,12,0.9,,0,X,
B1,19.8,Lotere_14,Block_3,90,0.1,12,0.9,,0,X,
B1,20.8,Lotere_15,Block_3,100,0.1,12,0.9,,0,X,
B2,21.8,Lotere_16,Block_3,110,0.1,12,0.9,,0,X,
B2,22.8,Lotere_17,Block_3,120,0.1,12,0.9,,0,X,
B2,23.8,Lotere_18,Block_3,130,0.1,12,0.9,,0,X,
B2,24.8,Lotere_19,Block_3,140,0.1,12,0.9,,0,X,
B2,25.8,Lotere_20,Block_3,150,0.1,12,0.9,,0,X,
C,21,Lotere_21,Block_3,21,1,0,0,,0,X,
